City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
severo-kurilsk,RU,50.6789,46.63,77,59,14.63,1635209454
atuona,PF,-9.8,78.1,72,25,17.11,1635209734
quatre cocos,MU,-20.2078,73.51,78,36,14.81,1635209755
cayenne,GF,4.9333,78.1,89,75,3.0,1635209765
maneadero,MX,31.7167,64.09,79,100,1.99,1635209775
castro,BR,-24.7911,57.06,95,8,3.33,1635209643
acacoyagua,MX,15.35,78.04,94,65,1.99,1635209806
hobart,AU,-42.8794,60.03,56,75,1.01,1635209817
pimentel,PE,-6.8367,63.27,85,100,14.76,1635209827
aykhal,RU,66.0,8.65,97,41,8.97,1635209860
mayo,US,38.8876,67.12,94,90,1.99,1635209860
busselton,AU,-33.65,51.04,65,98,1.07,1635209861
jamestown,US,42.097,57.33,92,98,1.01,1635209894
khatanga,RU,71.9667,4.32,96,100,5.93,1635209575
cape town,ZA,-33.9258,62.89,63,0,3.0,1635209829
chuy,UY,-33.6971,59.81,79,0,6.55,1635209862
butaritari,KI,3.0707,81.9,74,2,6.51,1635209592
port elizabeth,ZA,-33.918,62.89,88,0,10.36,1635209774
ponta delgada,PT,37.7333,68.72,77,40,6.91,1635209862
hilo,US,19.7297,88.29,78,75,11.5,1635209863
qaanaaq,GL,77.484,4.21,62,100,14.85,1635209846
ushuaia,AR,-54.8,35.26,80,20,18.41,1635209722
sitka,US,57.0531,45.48,84,100,3.71,1635209864
sao filipe,CV,14.8961,79.12,77,92,7.2,1635209864
ribeira grande,PT,38.5167,68.85,75,34,20.69,1635209613
torbay,CA,47.6666,40.26,80,90,8.05,1635209865
port lincoln,AU,-34.7333,72.68,39,100,17.05,1635209865
arraial do cabo,BR,-22.9661,69.62,88,98,10.11,1635209865
astana,KZ,51.1801,37.35,70,0,6.71,1635209602
ust-kulom,RU,61.6864,28.17,88,100,4.76,1635209866
rosaryville,US,38.7568,66.65,96,90,8.05,1635209866
new norfolk,AU,-42.7826,59.67,35,2,2.37,1635209867
provideniya,RU,64.3833,23.11,58,75,6.71,1635209861
esperance,AU,-33.8667,55.24,63,59,5.7,1635209867
qui nhon,VN,13.7667,75.92,89,100,16.71,1635209863
mataura,NZ,-46.1927,69.13,58,83,2.95,1635209777
college,US,64.8569,30.58,90,90,4.61,1635209868
albany,US,42.6001,55.63,90,100,4.45,1635209869
shepsi,RU,44.0361,44.82,73,8,10.71,1635209869
rikitea,PF,-23.1203,75.63,71,100,18.14,1635209838
airai,TL,-8.9266,75.97,34,67,2.62,1635209646
sakakah,SA,29.9697,67.57,30,0,4.7,1635209781
saint-philippe,RE,-21.3585,71.15,81,38,13.58,1635209870
hithadhoo,MV,-0.6,82.81,67,100,15.35,1635209870
beringovskiy,RU,63.05,15.58,72,100,2.86,1635209871
bambous virieux,MU,-20.3428,73.22,79,24,15.3,1635210488
puerto ayora,EC,-0.7393,68.56,94,92,1.99,1635210498
naze,JP,28.3667,69.84,59,7,13.06,1635210509
bluff,NZ,-46.6,54.01,88,99,10.49,1635210519
iqaluit,CA,63.7506,31.69,84,30,11.01,1635210530
tuktoyaktuk,CA,69.4541,28.49,97,100,6.22,1635210540
saint george,US,37.1041,75.67,30,1,3.0,1635210561
sinnamary,GF,5.3833,77.38,91,99,10.02,1635210571
emba,KZ,48.8264,35.83,87,11,11.45,1635210582
takoradi,GH,4.8845,76.93,90,100,8.86,1635210592
nanortalik,GL,60.1432,34.43,62,62,11.81,1635210603
geraldton,AU,-28.7667,59.41,67,75,5.75,1635210613
harper,LR,4.375,77.0,83,100,7.78,1635210624
mecca,SA,21.4267,78.48,62,0,2.06,1635210641
codrington,AU,-38.2667,60.35,49,96,7.65,1635210665
tiksi,RU,71.6872,0.72,97,99,4.45,1635210675
jiangyou,CN,31.7667,59.11,82,95,1.54,1635210685
abu dhabi,AE,24.4667,78.82,73,0,2.3,1635210534
kahului,US,20.8947,84.22,72,20,26.46,1635210474
troitsko-pechorsk,RU,62.7084,20.98,98,63,3.91,1635210716
padang,ID,-0.9492,79.77,82,83,3.71,1635210726
ponta do sol,PT,32.6667,69.01,68,1,6.31,1635210737
